profile_name,caption,tags,,,
takemebacktoparis,¡Feliz sábado! ,#outfitinspo #moda #fashion #fashionista #look #ootd #moda 📸 Pinterest,,,
takemebacktoparis,In love 🥰 ,#inspiration #outfitinspo #couture #fashionista #fashion #dior #streetstyle 📸 taken from #tumblr,,,
takemebacktoparis,"Sin duda, el verde es uno de los protagonistas de la temporada 💚 ¡feliz jueves! 📸 Pinterest ",#outfit #outfitinspiration #streetstyle #denim #skirt #heels #fashion #fashionista #fashionlover #trendy,,,
takemebacktoparis,Los ,#buckethats siguen siendo tendencia en la temporada de #OtoñoInvierno. ¿Te pondrías uno así? 📸 Tumblr #fashion #fashionlover #streetstyle #inspiration #outfit #pinterest,,,
takemebacktoparis,¿Mezclar colores? ¡Yo digo sí! Me he topado con esta imagen en ,#Pinterest y me ha encantado la combinación. ¿Te atreverías con algo así? #fashion #streetstyle #effortlesschic #trend #moda #takemebacktoparis #milan #paris,,,
takemebacktoparis,Lucky I’m in love with my best friend 💛 ,#paris #love #couplegoals #takemebacktoparis #fashionista #travel,,,
takemebacktoparis,Mini escapadas que enamoran 💙 ,#Alicante #Alacant #beachvibes #sunsetphotography #sunset #summer #beach #playa #cala #cantalar,,,
takemebacktoparis,,#throwback to when we could travel and walk around without masks 😷 (qué lejano y qué raro verme en la calle sin mascarilla...💔) #brooklyn #brooklynbridge #newyork #precovid19 #honeymoon #travel,,,
takemebacktoparis,La zona que rodea la Biblioteca Pública de Nueva York está llena de placas con poemas o citas de libros. ¿Que si me detuve a hacer fotos una a una? Obvio. 🤓 ,#bookworm #nypubliclibrary #bryantpark #newyork #thecity #travel #nyc #shoelfie #ihavethisthingwithfloors,,,
takemebacktoparis,Ralph & Russo FW2020 ,#fashion #ralphandrusso #couture #moda #cordobaesp,,,
takemebacktoparis,Take me back 💕,#paris #takemebacktoparis #summertime #summer #vacay #vacaymode #fashion #parisianstyle #blogger #cordobaesp #moda #fashion,,,
